**НАЗЕМНЫЕ ВОЙСКА**
Джетпак 0
Фаерфлай 0
Стервятник 0
Аспид 0
Гоняло 0
Мортира 0
Арбалеста 0
Яхта 0
Лат 0
**ОРУЖИЕ**
Кинетические-ядра 1
Заряженные-ядра 0
Плазменные-ядра 0
Нейтронные-ядра 0
Жёлтый-луч 1
Алый-луч 0
Тёмный-луч 0
**ЗАЩИТА**
Обычная-броня 1
Заряженная-броня 0
Алая-броня 0
Тёмная-броня 0
Грави-броня 0
**ПЕРЕМЕЩЕНИЕ**
Звёздные-паруса 1
Алые-паруса 0
Тёмные-паруса 0
Двигатель-"Тёмной-энергии" 0
**СПЕЦИАЛИЗИРОВАННЫЕ**
Транспортный-канал 0
Убежище 0
Транспортные-кольца 0
Насморк 0
Тугие-сплавы 0
**★Солнечная-Эра★ 0**
**КАПИТАНСКИЕ**
**★Серая Шляпа★**
Каменистые 0
Второй-слой 0
Природные-способности 0
**★Красный Шарф★**
Алые 0
Лучевая-болезнь 0
Импульсивная-броня 0
Алое-пламя 0
Алые-ками 0
**★Чёрная Перчатка★**
Тёмные 0
Чёрная-метка 0
Вылазка 0
Проникновение 0
Тёмные-силы 0
**★Синий Сапог★**
Синие 0
Синий-луч 0
Совмещение 0
Карабины 0
Новые-гранаты 0
